,import requirements,output product,value,proportion
35,C244_5 Other basic metals and casting,"A01 Products of agriculture, hunting and related services",0.0,0.0
36,C254 Weapons and ammunition,"A01 Products of agriculture, hunting and related services",0.0,0.0
37,"C25OTHER Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9","A01 Products of agriculture, hunting and related services",6.427801915422352,0.01023933145672221
38,"C26 Computer, electronic and optical products","A01 Products of agriculture, hunting and related services",22.89237074884726,0.036466987472842376
39,C27 Electrical equipment,"A01 Products of agriculture, hunting and related services",0.0,0.0
40,C28 Machinery and equipment n.e.c.,"A01 Products of agriculture, hunting and related services",10.07147996721447,0.016043621598950696
41,"C29 Motor vehicles, trailers and semi-trailers","A01 Products of agriculture, hunting and related services",0.0,0.0
42,C301 Ships and boats,"A01 Products of agriculture, hunting and related services",0.0,0.0
43,C303 Air and spacecraft and related machinery,"A01 Products of agriculture, hunting and related services",0.0,0.0
44,C30OTHER Other transport equipment - 30.2/4/9,"A01 Products of agriculture, hunting and related services",0.0,0.0
45,C31 Furniture,"A01 Products of agriculture, hunting and related services",0.0,0.0
46,C32 Other manufactured goods,"A01 Products of agriculture, hunting and related services",0.9234594520744557,0.0014710483523063156
47,C3315 Repair and maintenance of ships and boats,"A01 Products of agriculture, hunting and related services",0.0,0.0
48,C3316 Repair and maintenance of aircraft and spacecraft,"A01 Products of agriculture, hunting and related services",0.0,0.0
49,C33OTHER Rest of repair; Installation - 33.11-14/17/19/20,"A01 Products of agriculture, hunting and related services",0.0,0.0
50,"D351 Electricity, transmission and distribution","A01 Products of agriculture, hunting and related services",0.0,0.0
51,D352_3 Gas; distribution of gaseous fuels through mains; steam and air conditioning supply,"A01 Products of agriculture, hunting and related services",0.0,0.0
52,E36 Natural water; water treatment and supply services,"A01 Products of agriculture, hunting and related services",0.0,0.0
53,E37 Sewerage services; sewage sludge,"A01 Products of agriculture, hunting and related services",0.0,0.0
54,"E38 Waste collection, treatment and disposal services; materials recovery services","A01 Products of agriculture, hunting and related services",0.9169205196332055,0.0014606319926362347
55,E39 Remediation services and other waste management services,"A01 Products of agriculture, hunting and related services",0.0,0.0
56,"F41, F42 & F43 Construction","A01 Products of agriculture, hunting and related services",2.747482147087009,0.0043766719549885496
57,G45 Wholesale and retail trade and repair services of motor vehicles and motorcycles,"A01 Products of agriculture, hunting and related services",0.0,0.0
58,"G46 Wholesale trade services, except of motor vehicles and motorcycles","A01 Products of agriculture, hunting and related services",0.0,0.0
59,"G47 Retail trade services, except of motor vehicles and motorcycles","A01 Products of agriculture, hunting and related services",0.0,0.0
60,H491_2 Rail transport services,"A01 Products of agriculture, hunting and related services",0.0,0.0
61,"H493_5 Land transport services and transport services via pipelines, excluding rail transport","A01 Products of agriculture, hunting and related services",16.48237569565651,0.02625602191273501
62,H50 Water transport services,"A01 Products of agriculture, hunting and related services",0.0,0.0
63,H51 Air transport services,"A01 Products of agriculture, hunting and related services",0.0,0.0
64,H52 Warehousing and support services for transportation,"A01 Products of agriculture, hunting and related services",0.0,0.0
65,H53 Postal and courier services,"A01 Products of agriculture, hunting and related services",0.000112720886447643,1.7956161898264175e-07
66,I55 Accommodation services,"A01 Products of agriculture, hunting and related services",0.0,0.0
67,I56 Food and beverage serving services,"A01 Products of agriculture, hunting and related services",0.0,0.0
68,J58 Publishing services,"A01 Products of agriculture, hunting and related services",0.0,0.0
69,"J59 & J60 Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities","A01 Products of agriculture, hunting and related services",0.0,0.0
70,J61 Telecommunications services,"A01 Products of agriculture, hunting and related services",0.0,0.0
71,"J62 Computer programming, consultancy and related services","A01 Products of agriculture, hunting and related services",2.757833182006368,0.004393160900798334
72,J63 Information services,"A01 Products of agriculture, hunting and related services",0.009567211558703322,1.5240334340594015e-05
73,"K64 Financial services, except insurance and pension funding","A01 Products of agriculture, hunting and related services",1.858573746375914,0.002960662583618914
74,"K65.1-2 & K65.3 Insurance, reinsurance and pension funding services, except compulsory social security","A01 Products of agriculture, hunting and related services",6.411301371185639,0.010213046492767325
75,K66 Services auxiliary to financial services and insurance services,"A01 Products of agriculture, hunting and related services",0.005863600574947152,9.340572501566548e-06
76,L683 Real estate services on a fee or contract basis,"A01 Products of agriculture, hunting and related services",0.0,0.0
77,L68A Owner-Occupiers' Housing Services,"A01 Products of agriculture, hunting and related services",0.0,0.0
78,"L68BXL683 Real estate services, excluding on a fee or contract basis and imputed rent","A01 Products of agriculture, hunting and related services",0.0,0.0
79,M691 Legal services,"A01 Products of agriculture, hunting and related services",0.0006791647674733957,1.0818928864628565e-06
80,"M692 Accounting, bookkeeping and auditing services; tax consulting services","A01 Products of agriculture, hunting and related services",3.641185271475627,0.005800319204068723
81,M70 Services of head offices; management consulting services,"A01 Products of agriculture, hunting and related services",20.15912961567336,0.03211300110519065
82,M71 Architectural and engineering services; technical testing and analysis services,"A01 Products of agriculture, hunting and related services",5.505552400527987,0.008770210504791914
83,M72 Scientific research and development services,"A01 Products of agriculture, hunting and related services",0.0,0.0
84,M73 Advertising and market research services,"A01 Products of agriculture, hunting and related services",1.834007313778306,0.0029215288565087798
85,"M74 Other professional, scientific and technical services","A01 Products of agriculture, hunting and related services",0.0002252489207374021,3.588160291880529e-07
86,M75 Veterinary services,"A01 Products of agriculture, hunting and related services",0.0,0.0
87,N77 Rental and leasing services,"A01 Products of agriculture, hunting and related services",2.749226745232195,0.0043794510572232465
88,N78 Employment services,"A01 Products of agriculture, hunting and related services",3.662589132899936,0.00583441503254337
89,"N79 Travel agency, tour operator and other reservation services and related services","A01 Products of agriculture, hunting and related services",0.0,0.0
90,N80 Security and investigation services,"A01 Products of agriculture, hunting and related services",0.0,0.0
91,N81 Services to buildings and landscape,"A01 Products of agriculture, hunting and related services",0.0,0.0
92,"N82 Office administrative, office support and other business support services","A01 Products of agriculture, hunting and related services",0.4991909532128826,0.0007951989960798225
93,O84 Public administration and defence services; compulsory social security services,"A01 Products of agriculture, hunting and related services",0.0,0.0
94,P85 Education services,"A01 Products of agriculture, hunting and related services",0.0002252672978260357,3.5884530344139874e-07
95,Q86 Human health services,"A01 Products of agriculture, hunting and related services",0.0,0.0
96,Q87 & Q88 Residential Care  & Social Work Activities,"A01 Products of agriculture, hunting and related services",0.0,0.0
97,"R90 Creative, arts and entertainment services","A01 Products of agriculture, hunting and related services",0.0,0.0
98,"R91 Libraries, archives, museums and other cultural services","A01 Products of agriculture, hunting and related services",0.0,0.0
99,R92 Gambling and betting services,"A01 Products of agriculture, hunting and related services",0.0,0.0
100,R93 Sports services and amusement and recreation services,"A01 Products of agriculture, hunting and related services",0.0,0.0
101,S94 Services furnished by membership organisations,"A01 Products of agriculture, hunting and related services",0.0,0.0
102,S95 Repair services of computers and personal and household goods,"A01 Products of agriculture, hunting and related services",0.0,0.0
103,S96 Other personal services,"A01 Products of agriculture, hunting and related services",0.0,0.0
104,"A01 Products of agriculture, hunting and related services","A02 Products of forestry, logging and related services",2.504648715337143,0.21429098113952033
105,"A02 Products of forestry, logging and related services","A02 Products of forestry, logging and related services",5.843309015719145,0.4999377415332712
106,A03 Fish and other fishing products; aquaculture products; support services to fishing,"A02 Products of forestry, logging and related services",0.0,0.0
107,B05 Coal and lignite,"A02 Products of forestry, logging and related services",0.0,0.0
108,B06 & B07 Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,"A02 Products of forestry, logging and related services",0.0,0.0
109,B08 Other mining and quarrying products,"A02 Products of forestry, logging and related services",0.0,0.0
110,B09 Mining support services,"A02 Products of forestry, logging and related services",0.0,0.0
111,C101 Preserved meat and meat products,"A02 Products of forestry, logging and related services",0.0,0.0
112,"C102_3 Processed and preserved fish, crustaceans, molluscs, fruit and vegetables","A02 Products of forestry, logging and related services",0.0,0.0
113,C104 Vegetable and animal oils and fats,"A02 Products of forestry, logging and related services",0.0,0.0
114,C105 Dairy products,"A02 Products of forestry, logging and related services",0.0,0.0
115,"C106 Grain mill products, starches and starch products","A02 Products of forestry, logging and related services",0.0,0.0
116,C107 Bakery and farinaceous products,"A02 Products of forestry, logging and related services",0.0,0.0
117,C108 Other food products,"A02 Products of forestry, logging and related services",0.0,0.0
118,C109 Prepared animal feeds,"A02 Products of forestry, logging and related services",0.0,0.0
119,C11.01-6 & C12 Alcoholic beverages  & Tobacco products,"A02 Products of forestry, logging and related services",0.0,0.0
120,C1107 Soft drinks,"A02 Products of forestry, logging and related services",0.0,0.0
121,C13 Textiles,"A02 Products of forestry, logging and related services",0.0,0.0
122,C14 Wearing apparel,"A02 Products of forestry, logging and related services",0.0,0.0
123,C15 Leather and related products,"A02 Products of forestry, logging and related services",0.0,0.0
124,"C16 Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials","A02 Products of forestry, logging and related services",0.0,0.0
125,C17 Paper and paper products,"A02 Products of forestry, logging and related services",0.0,0.0
126,C18 Printing and recording services,"A02 Products of forestry, logging and related services",0.0,0.0
127,C19 Coke and refined petroleum products,"A02 Products of forestry, logging and related services",0.0,0.0
128,"C203 Paints, varnishes and similar coatings, printing ink and mastics","A02 Products of forestry, logging and related services",0.0,0.0
129,"C204 Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","A02 Products of forestry, logging and related services",0.0,0.0
130,C205 Other chemical products,"A02 Products of forestry, logging and related services",0.0,0.0
131,"C20A Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15","A02 Products of forestry, logging and related services",0.0,0.0
132,C20B Petrochemicals - 20.14/16/17/60,"A02 Products of forestry, logging and related services",0.0,0.0
133,"C20C Dyestuffs, agro-chemicals - 20.12/20","A02 Products of forestry, logging and related services",0.0,0.0
134,C21 Basic pharmaceutical products and pharmaceutical preparations,"A02 Products of forestry, logging and related services",0.0,0.0
135,C22 Rubber and plastic products,"A02 Products of forestry, logging and related services",0.0,0.0
136,"C235_6 Cement, lime, plaster and articles of concrete, cement and plaster","A02 Products of forestry, logging and related services",0.0,0.0
137,"C23OTHER Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9","A02 Products of forestry, logging and related services",0.0,0.0
138,C241_3 Basic iron and steel,"A02 Products of forestry, logging and related services",0.0,0.0
139,C244_5 Other basic metals and casting,"A02 Products of forestry, logging and related services",0.0,0.0
140,C254 Weapons and ammunition,"A02 Products of forestry, logging and related services",0.0,0.0
141,"C25OTHER Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9","A02 Products of forestry, logging and related services",0.0,0.0
142,"C26 Computer, electronic and optical products","A02 Products of forestry, logging and related services",1.670047629689987,0.1428847658055014
143,C27 Electrical equipment,"A02 Products of forestry, logging and related services",0.0,0.0
144,C28 Machinery and equipment n.e.c.,"A02 Products of forestry, logging and related services",0.8350260808506235,0.07144257677607384
145,"C29 Motor vehicles, trailers and semi-trailers","A02 Products of forestry, logging and related services",0.8350419528985018,0.07144393474563328
146,C301 Ships and boats,"A02 Products of forestry, logging and related services",0.0,0.0
147,C303 Air and spacecraft and related machinery,"A02 Products of forestry, logging and related services",0.0,0.0
148,C30OTHER Other transport equipment - 30.2/4/9,"A02 Products of forestry, logging and related services",0.0,0.0
149,C31 Furniture,"A02 Products of forestry, logging and related services",0.0,0.0
150,C32 Other manufactured goods,"A02 Products of forestry, logging and related services",0.0,0.0
151,C3315 Repair and maintenance of ships and boats,"A02 Products of forestry, logging and related services",0.0,0.0
152,C3316 Repair and maintenance of aircraft and spacecraft,"A02 Products of forestry, logging and related services",0.0,0.0
153,C33OTHER Rest of repair; Installation - 33.11-14/17/19/20,"A02 Products of forestry, logging and related services",0.0,0.0
154,"D351 Electricity, transmission and distribution","A02 Products of forestry, logging and related services",0.0,0.0
155,D352_3 Gas; distribution of gaseous fuels through mains; steam and air conditioning supply,"A02 Products of forestry, logging and related services",0.0,0.0
156,E36 Natural water; water treatment and supply services,"A02 Products of forestry, logging and related services",0.0,0.0
157,E37 Sewerage services; sewage sludge,"A02 Products of forestry, logging and related services",0.0,0.0
158,"E38 Waste collection, treatment and disposal services; materials recovery services","A02 Products of forestry, logging and related services",0.0,0.0
159,E39 Remediation services and other waste management services,"A02 Products of forestry, logging and related services",0.0,0.0
160,"F41, F42 & F43 Construction","A02 Products of forestry, logging and related services",0.0,0.0
161,G45 Wholesale and retail trade and repair services of motor vehicles and motorcycles,"A02 Products of forestry, logging and related services",0.0,0.0
162,"G46 Wholesale trade services, except of motor vehicles and motorcycles","A02 Products of forestry, logging and related services",0.0,0.0
163,"G47 Retail trade services, except of motor vehicles and motorcycles","A02 Products of forestry, logging and related services",0.0,0.0
164,H491_2 Rail transport services,"A02 Products of forestry, logging and related services",0.0,0.0
165,"H493_5 Land transport services and transport services via pipelines, excluding rail transport","A02 Products of forestry, logging and related services",0.0,0.0
166,H50 Water transport services,"A02 Products of forestry, logging and related services",0.0,0.0
167,H51 Air transport services,"A02 Products of forestry, logging and related services",0.0,0.0
168,H52 Warehousing and support services for transportation,"A02 Products of forestry, logging and related services",0.0,0.0
169,H53 Postal and courier services,"A02 Products of forestry, logging and related services",0.0,0.0
170,I55 Accommodation services,"A02 Products of forestry, logging and related services",0.0,0.0
171,I56 Food and beverage serving services,"A02 Products of forestry, logging and related services",0.0,0.0
172,J58 Publishing services,"A02 Products of forestry, logging and related services",0.0,0.0
173,"J59 & J60 Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities","A02 Products of forestry, logging and related services",0.0,0.0
174,J61 Telecommunications services,"A02 Products of forestry, logging and related services",0.0,0.0
175,"J62 Computer programming, consultancy and related services","A02 Products of forestry, logging and related services",0.0,0.0
176,J63 Information services,"A02 Products of forestry, logging and related services",0.0,0.0
177,"K64 Financial services, except insurance and pension funding","A02 Products of forestry, logging and related services",0.0,0.0
178,"K65.1-2 & K65.3 Insurance, reinsurance and pension funding services, except compulsory social security","A02 Products of forestry, logging and related services",0.0,0.0
179,K66 Services auxiliary to financial services and insurance services,"A02 Products of forestry, logging and related services",0.0,0.0
180,L683 Real estate services on a fee or contract basis,"A02 Products of forestry, logging and related services",0.0,0.0
181,L68A Owner-Occupiers' Housing Services,"A02 Products of forestry, logging and related services",0.0,0.0
182,"L68BXL683 Real estate services, excluding on a fee or contract basis and imputed rent","A02 Products of forestry, logging and related services",0.0,0.0
183,M691 Legal services,"A02 Products of forestry, logging and related services",0.0,0.0
184,"M692 Accounting, bookkeeping and auditing services; tax consulting services","A02 Products of forestry, logging and related services",0.0,0.0
185,M70 Services of head offices; management consulting services,"A02 Products of forestry, logging and related services",0.0,0.0
186,M71 Architectural and engineering services; technical testing and analysis services,"A02 Products of forestry, logging and related services",0.0,0.0
187,M72 Scientific research and development services,"A02 Products of forestry, logging and related services",0.0,0.0
188,M73 Advertising and market research services,"A02 Products of forestry, logging and related services",0.0,0.0
189,"M74 Other professional, scientific and technical services","A02 Products of forestry, logging and related services",0.0,0.0
190,M75 Veterinary services,"A02 Products of forestry, logging and related services",0.0,0.0
191,N77 Rental and leasing services,"A02 Products of forestry, logging and related services",0.0,0.0
192,N78 Employment services,"A02 Products of forestry, logging and related services",0.0,0.0
193,"N79 Travel agency, tour operator and other reservation services and related services","A02 Products of forestry, logging and related services",0.0,0.0
194,N80 Security and investigation services,"A02 Products of forestry, logging and related services",0.0,0.0
195,N81 Services to buildings and landscape,"A02 Products of forestry, logging and related services",0.0,0.0
196,"N82 Office administrative, office support and other business support services","A02 Products of forestry, logging and related services",0.0,0.0
197,O84 Public administration and defence services; compulsory social security services,"A02 Products of forestry, logging and related services",0.0,0.0
198,P85 Education services,"A02 Products of forestry, logging and related services",0.0,0.0
199,Q86 Human health services,"A02 Products of forestry, logging and related services",0.0,0.0
200,Q87 & Q88 Residential Care  & Social Work Activities,"A02 Products of forestry, logging and related services",0.0,0.0
201,"R90 Creative, arts and entertainment services","A02 Products of forestry, logging and related services",0.0,0.0
202,"R91 Libraries, archives, museums and other cultural services","A02 Products of forestry, logging and related services",0.0,0.0
203,R92 Gambling and betting services,"A02 Products of forestry, logging and related services",0.0,0.0
204,R93 Sports services and amusement and recreation services,"A02 Products of forestry, logging and related services",0.0,0.0
205,S94 Services furnished by membership organisations,"A02 Products of forestry, logging and related services",0.0,0.0
206,S95 Repair services of computers and personal and household goods,"A02 Products of forestry, logging and related services",0.0,0.0
207,S96 Other personal services,"A02 Products of forestry, logging and related services",0.0,0.0
208,"A01 Products of agriculture, hunting and related services",A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
209,"A02 Products of forestry, logging and related services",A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
210,A03 Fish and other fishing products; aquaculture products; support services to fishing,A03 Fish and other fishing products; aquaculture products; support services to fishing,259.1820940026096,0.9312749826908218
211,B05 Coal and lignite,A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
212,B06 & B07 Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
213,B08 Other mining and quarrying products,A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
214,B09 Mining support services,A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
215,C101 Preserved meat and meat products,A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
216,"C102_3 Processed and preserved fish, crustaceans, molluscs, fruit and vegetables",A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
217,C104 Vegetable and animal oils and fats,A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
218,C105 Dairy products,A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
219,"C106 Grain mill products, starches and starch products",A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
220,C107 Bakery and farinaceous products,A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
221,C108 Other food products,A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
222,C109 Prepared animal feeds,A03 Fish and other fishing products; aquaculture products; support services to fishing,3.824068821632523,0.013740376777874487
223,C11.01-6 & C12 Alcoholic beverages  & Tobacco products,A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
224,C1107 Soft drinks,A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
225,C13 Textiles,A03 Fish and other fishing products; aquaculture products; support services to fishing,0.9569634084045007,0.0034384940249332125
226,C14 Wearing apparel,A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
227,C15 Leather and related products,A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
228,"C16 Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
229,C17 Paper and paper products,A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
230,C18 Printing and recording services,A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
231,C19 Coke and refined petroleum products,A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
232,"C203 Paints, varnishes and similar coatings, printing ink and mastics",A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
233,"C204 Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
234,C205 Other chemical products,A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
235,"C20A Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15",A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
236,C20B Petrochemicals - 20.14/16/17/60,A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
237,"C20C Dyestuffs, agro-chemicals - 20.12/20",A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
238,C21 Basic pharmaceutical products and pharmaceutical preparations,A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
239,C22 Rubber and plastic products,A03 Fish and other fishing products; aquaculture products; support services to fishing,2.869283956405801,0.01030971054200203
240,"C235_6 Cement, lime, plaster and articles of concrete, cement and plaster",A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
241,"C23OTHER Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9",A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
242,C241_3 Basic iron and steel,A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
243,C244_5 Other basic metals and casting,A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
244,C254 Weapons and ammunition,A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
245,"C25OTHER Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9",A03 Fish and other fishing products; aquaculture products; support services to fishing,2.869438100291902,0.010310264401038523
246,"C26 Computer, electronic and optical products",A03 Fish and other fishing products; aquaculture products; support services to fishing,1.912796484002147,0.006872926617037938
247,C27 Electrical equipment,A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
248,C28 Machinery and equipment n.e.c.,A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
249,"C29 Motor vehicles, trailers and semi-trailers",A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
250,C301 Ships and boats,A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
251,C303 Air and spacecraft and related machinery,A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
252,C30OTHER Other transport equipment - 30.2/4/9,A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
253,C31 Furniture,A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
254,C32 Other manufactured goods,A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
255,C3315 Repair and maintenance of ships and boats,A03 Fish and other fishing products; aquaculture products; support services to fishing,0.9564903835609609,0.0034367943851310303
256,C3316 Repair and maintenance of aircraft and spacecraft,A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
257,C33OTHER Rest of repair; Installation - 33.11-14/17/19/20,A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
258,"D351 Electricity, transmission and distribution",A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
259,D352_3 Gas; distribution of gaseous fuels through mains; steam and air conditioning supply,A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
260,E36 Natural water; water treatment and supply services,A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
261,E37 Sewerage services; sewage sludge,A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
262,"E38 Waste collection, treatment and disposal services; materials recovery services",A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
263,E39 Remediation services and other waste management services,A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
264,"F41, F42 & F43 Construction",A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
265,G45 Wholesale and retail trade and repair services of motor vehicles and motorcycles,A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
266,"G46 Wholesale trade services, except of motor vehicles and motorcycles",A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
267,"G47 Retail trade services, except of motor vehicles and motorcycles",A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
268,H491_2 Rail transport services,A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
269,"H493_5 Land transport services and transport services via pipelines, excluding rail transport",A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
270,H50 Water transport services,A03 Fish and other fishing products; aquaculture products; support services to fishing,2.869461701135093,0.010310349201938518
271,H51 Air transport services,A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
272,H52 Warehousing and support services for transportation,A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
273,H53 Postal and courier services,A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
274,I55 Accommodation services,A03 Fish and other fishing products; aquaculture products; support services to fishing,0.0,0.0
