,output product,import requirements,value
132,"Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15",Forestry And Logging,0
133,Petrochemicals - 20.14/16/17/60,Forestry And Logging,0
134,"Dyestuffs, agro-chemicals - 20.12/20",Forestry And Logging,0
135,Basic pharmaceutical products and pharmaceutical preparations,Forestry And Logging,0
136,Rubber and plastic products,Forestry And Logging,0
137,"Cement, lime, plaster and articles of concrete, cement and plaster",Forestry And Logging,0
138,"Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9",Forestry And Logging,0
139,Basic iron and steel,Forestry And Logging,0
140,Other basic metals and casting,Forestry And Logging,0
141,Weapons and ammunition,Forestry And Logging,0
142,"Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9",Forestry And Logging,0
143,"Computer, electronic and optical products",Forestry And Logging,2
144,Electrical equipment,Forestry And Logging,0
145,Machinery and equipment n.e.c.,Forestry And Logging,1
146,"Motor vehicles, trailers and semi-trailers",Forestry And Logging,1
147,Ships and boats,Forestry And Logging,0
148,Air and spacecraft and related machinery,Forestry And Logging,0
149,Other transport equipment - 30.2/4/9,Forestry And Logging,0
150,Furniture,Forestry And Logging,0
151,Other manufactured goods,Forestry And Logging,0
152,Repair and maintenance of ships and boats,Forestry And Logging,0
153,Repair and maintenance of aircraft and spacecraft,Forestry And Logging,0
154,Rest of repair; Installation - 33.11-14/17/19/20,Forestry And Logging,0
155,"Electricity, transmission and distribution",Forestry And Logging,0
156,Gas; distribution of gaseous fuels through mains; steam and air conditioning supply,Forestry And Logging,0
157,Natural water; water treatment and supply services,Forestry And Logging,0
158,Sewerage services; sewage sludge,Forestry And Logging,0
159,"Waste collection, treatment and disposal services; materials recovery services",Forestry And Logging,0
160,Remediation services and other waste management services,Forestry And Logging,0
161,Construction,Forestry And Logging,0
162,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Forestry And Logging,0
163,"Wholesale trade services, except of motor vehicles and motorcycles",Forestry And Logging,0
164,"Retail trade services, except of motor vehicles and motorcycles",Forestry And Logging,0
165,Rail transport services,Forestry And Logging,0
166,"Land transport services and transport services via pipelines, excluding rail transport",Forestry And Logging,0
167,Water transport services,Forestry And Logging,0
168,Air transport services,Forestry And Logging,0
169,Warehousing and support services for transportation,Forestry And Logging,0
170,Postal and courier services,Forestry And Logging,0
171,Accommodation services,Forestry And Logging,0
172,Food and beverage serving services,Forestry And Logging,0
173,Publishing services,Forestry And Logging,0
174,"Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities",Forestry And Logging,0
175,Telecommunications services,Forestry And Logging,0
176,"Computer programming, consultancy and related services",Forestry And Logging,0
177,Information services,Forestry And Logging,0
178,"Financial services, except insurance and pension funding",Forestry And Logging,0
179,"Insurance, reinsurance and pension funding services, except compulsory social security",Forestry And Logging,0
180,Services auxiliary to financial services and insurance services,Forestry And Logging,0
181,Real estate services on a fee or contract basis,Forestry And Logging,0
182,Owner-Occupiers' Housing Services,Forestry And Logging,0
183,"Real estate services, excluding on a fee or contract basis and imputed rent",Forestry And Logging,0
184,Legal services,Forestry And Logging,0
185,"Accounting, bookkeeping and auditing services; tax consulting services",Forestry And Logging,0
186,Services of head offices; management consulting services,Forestry And Logging,0
187,Architectural and engineering services; technical testing and analysis services,Forestry And Logging,0
188,Scientific research and development services,Forestry And Logging,0
189,Advertising and market research services,Forestry And Logging,0
190,"Other professional, scientific and technical services",Forestry And Logging,0
191,Veterinary services,Forestry And Logging,0
192,Rental and leasing services,Forestry And Logging,0
193,Employment services,Forestry And Logging,0
194,"Travel agency, tour operator and other reservation services and related services",Forestry And Logging,0
195,Security and investigation services,Forestry And Logging,0
196,Services to buildings and landscape,Forestry And Logging,0
197,"Office administrative, office support and other business support services",Forestry And Logging,0
198,Public administration and defence services; compulsory social security services,Forestry And Logging,0
199,Education services,Forestry And Logging,0
200,Human health services,Forestry And Logging,0
201,Residential Care  & Social Work Activities,Forestry And Logging,0
202,"Creative, arts and entertainment services",Forestry And Logging,0
203,"Libraries, archives, museums and other cultural services",Forestry And Logging,0
204,Gambling and betting services,Forestry And Logging,0
205,Sports services and amusement and recreation services,Forestry And Logging,0
206,Services furnished by membership organisations,Forestry And Logging,0
207,Repair services of computers and personal and household goods,Forestry And Logging,0
208,Other personal services,Forestry And Logging,0
209,Services of households as employers of domestic personnel,Forestry And Logging,0
210,"Products of agriculture, hunting and related services",Fishing And Aquaculture,0
211,"Products of forestry, logging and related services",Fishing And Aquaculture,0
212,Fish and other fishing products; aquaculture products; support services to fishing,Fishing And Aquaculture,259
213,Coal and lignite,Fishing And Aquaculture,0
214,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,Fishing And Aquaculture,0
215,Other mining and quarrying products,Fishing And Aquaculture,0
216,Mining support services,Fishing And Aquaculture,0
217,Preserved meat and meat products,Fishing And Aquaculture,0
218,"Processed and preserved fish, crustaceans, molluscs, fruit and vegetables",Fishing And Aquaculture,0
219,Vegetable and animal oils and fats,Fishing And Aquaculture,0
220,Dairy products,Fishing And Aquaculture,0
221,"Grain mill products, starches and starch products",Fishing And Aquaculture,0
222,Bakery and farinaceous products,Fishing And Aquaculture,0
223,Other food products,Fishing And Aquaculture,0
224,Prepared animal feeds,Fishing And Aquaculture,4
225,Alcoholic beverages  & Tobacco products,Fishing And Aquaculture,0
226,Soft drinks,Fishing And Aquaculture,0
227,Textiles,Fishing And Aquaculture,1
228,Wearing apparel,Fishing And Aquaculture,0
229,Leather and related products,Fishing And Aquaculture,0
230,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Fishing And Aquaculture,0
231,Paper and paper products,Fishing And Aquaculture,0
232,Printing and recording services,Fishing And Aquaculture,0
233,Coke and refined petroleum products,Fishing And Aquaculture,0
234,"Paints, varnishes and similar coatings, printing ink and mastics",Fishing And Aquaculture,0
235,"Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",Fishing And Aquaculture,0
236,Other chemical products,Fishing And Aquaculture,0
237,"Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15",Fishing And Aquaculture,0
238,Petrochemicals - 20.14/16/17/60,Fishing And Aquaculture,0
239,"Dyestuffs, agro-chemicals - 20.12/20",Fishing And Aquaculture,0
240,Basic pharmaceutical products and pharmaceutical preparations,Fishing And Aquaculture,0
241,Rubber and plastic products,Fishing And Aquaculture,3
242,"Cement, lime, plaster and articles of concrete, cement and plaster",Fishing And Aquaculture,0
243,"Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9",Fishing And Aquaculture,0
244,Basic iron and steel,Fishing And Aquaculture,0
245,Other basic metals and casting,Fishing And Aquaculture,0
246,Weapons and ammunition,Fishing And Aquaculture,0
247,"Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9",Fishing And Aquaculture,3
248,"Computer, electronic and optical products",Fishing And Aquaculture,2
249,Electrical equipment,Fishing And Aquaculture,0
250,Machinery and equipment n.e.c.,Fishing And Aquaculture,0
251,"Motor vehicles, trailers and semi-trailers",Fishing And Aquaculture,0
252,Ships and boats,Fishing And Aquaculture,0
253,Air and spacecraft and related machinery,Fishing And Aquaculture,0
254,Other transport equipment - 30.2/4/9,Fishing And Aquaculture,0
255,Furniture,Fishing And Aquaculture,0
256,Other manufactured goods,Fishing And Aquaculture,0
257,Repair and maintenance of ships and boats,Fishing And Aquaculture,1
258,Repair and maintenance of aircraft and spacecraft,Fishing And Aquaculture,0
259,Rest of repair; Installation - 33.11-14/17/19/20,Fishing And Aquaculture,0
260,"Electricity, transmission and distribution",Fishing And Aquaculture,0
261,Gas; distribution of gaseous fuels through mains; steam and air conditioning supply,Fishing And Aquaculture,0
262,Natural water; water treatment and supply services,Fishing And Aquaculture,0
263,Sewerage services; sewage sludge,Fishing And Aquaculture,0
264,"Waste collection, treatment and disposal services; materials recovery services",Fishing And Aquaculture,0
265,Remediation services and other waste management services,Fishing And Aquaculture,0
266,Construction,Fishing And Aquaculture,0
267,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Fishing And Aquaculture,0
268,"Wholesale trade services, except of motor vehicles and motorcycles",Fishing And Aquaculture,0
269,"Retail trade services, except of motor vehicles and motorcycles",Fishing And Aquaculture,0
270,Rail transport services,Fishing And Aquaculture,0
271,"Land transport services and transport services via pipelines, excluding rail transport",Fishing And Aquaculture,0
272,Water transport services,Fishing And Aquaculture,3
273,Air transport services,Fishing And Aquaculture,0
274,Warehousing and support services for transportation,Fishing And Aquaculture,0
275,Postal and courier services,Fishing And Aquaculture,0
276,Accommodation services,Fishing And Aquaculture,0
277,Food and beverage serving services,Fishing And Aquaculture,0
278,Publishing services,Fishing And Aquaculture,0
279,"Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities",Fishing And Aquaculture,0
280,Telecommunications services,Fishing And Aquaculture,0
281,"Computer programming, consultancy and related services",Fishing And Aquaculture,0
282,Information services,Fishing And Aquaculture,0
283,"Financial services, except insurance and pension funding",Fishing And Aquaculture,0
284,"Insurance, reinsurance and pension funding services, except compulsory social security",Fishing And Aquaculture,0
285,Services auxiliary to financial services and insurance services,Fishing And Aquaculture,0
286,Real estate services on a fee or contract basis,Fishing And Aquaculture,0
287,Owner-Occupiers' Housing Services,Fishing And Aquaculture,0
288,"Real estate services, excluding on a fee or contract basis and imputed rent",Fishing And Aquaculture,0
289,Legal services,Fishing And Aquaculture,0
290,"Accounting, bookkeeping and auditing services; tax consulting services",Fishing And Aquaculture,0
291,Services of head offices; management consulting services,Fishing And Aquaculture,0
292,Architectural and engineering services; technical testing and analysis services,Fishing And Aquaculture,1
293,Scientific research and development services,Fishing And Aquaculture,0
294,Advertising and market research services,Fishing And Aquaculture,0
295,"Other professional, scientific and technical services",Fishing And Aquaculture,0
296,Veterinary services,Fishing And Aquaculture,0
297,Rental and leasing services,Fishing And Aquaculture,1
298,Employment services,Fishing And Aquaculture,0
299,"Travel agency, tour operator and other reservation services and related services",Fishing And Aquaculture,0
300,Security and investigation services,Fishing And Aquaculture,0
301,Services to buildings and landscape,Fishing And Aquaculture,0
302,"Office administrative, office support and other business support services",Fishing And Aquaculture,0
303,Public administration and defence services; compulsory social security services,Fishing And Aquaculture,0
304,Education services,Fishing And Aquaculture,0
305,Human health services,Fishing And Aquaculture,0
306,Residential Care  & Social Work Activities,Fishing And Aquaculture,0
307,"Creative, arts and entertainment services",Fishing And Aquaculture,0
308,"Libraries, archives, museums and other cultural services",Fishing And Aquaculture,0
309,Gambling and betting services,Fishing And Aquaculture,0
310,Sports services and amusement and recreation services,Fishing And Aquaculture,0
311,Services furnished by membership organisations,Fishing And Aquaculture,0
312,Repair services of computers and personal and household goods,Fishing And Aquaculture,0
313,Other personal services,Fishing And Aquaculture,1
314,Services of households as employers of domestic personnel,Fishing And Aquaculture,0
315,"Products of agriculture, hunting and related services",Mining Of Coal And Lignite,0
316,"Products of forestry, logging and related services",Mining Of Coal And Lignite,0
317,Fish and other fishing products; aquaculture products; support services to fishing,Mining Of Coal And Lignite,0
318,Coal and lignite,Mining Of Coal And Lignite,0
319,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,Mining Of Coal And Lignite,0
320,Other mining and quarrying products,Mining Of Coal And Lignite,0
321,Mining support services,Mining Of Coal And Lignite,0
322,Preserved meat and meat products,Mining Of Coal And Lignite,0
323,"Processed and preserved fish, crustaceans, molluscs, fruit and vegetables",Mining Of Coal And Lignite,0
324,Vegetable and animal oils and fats,Mining Of Coal And Lignite,0
325,Dairy products,Mining Of Coal And Lignite,0
326,"Grain mill products, starches and starch products",Mining Of Coal And Lignite,0
327,Bakery and farinaceous products,Mining Of Coal And Lignite,0
328,Other food products,Mining Of Coal And Lignite,0
329,Prepared animal feeds,Mining Of Coal And Lignite,0
330,Alcoholic beverages  & Tobacco products,Mining Of Coal And Lignite,0
331,Soft drinks,Mining Of Coal And Lignite,0
332,Textiles,Mining Of Coal And Lignite,0
333,Wearing apparel,Mining Of Coal And Lignite,0
334,Leather and related products,Mining Of Coal And Lignite,0
335,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Mining Of Coal And Lignite,0
336,Paper and paper products,Mining Of Coal And Lignite,0
337,Printing and recording services,Mining Of Coal And Lignite,0
338,Coke and refined petroleum products,Mining Of Coal And Lignite,0
339,"Paints, varnishes and similar coatings, printing ink and mastics",Mining Of Coal And Lignite,0
340,"Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",Mining Of Coal And Lignite,0
341,Other chemical products,Mining Of Coal And Lignite,1
342,"Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15",Mining Of Coal And Lignite,0
343,Petrochemicals - 20.14/16/17/60,Mining Of Coal And Lignite,0
344,"Dyestuffs, agro-chemicals - 20.12/20",Mining Of Coal And Lignite,0
345,Basic pharmaceutical products and pharmaceutical preparations,Mining Of Coal And Lignite,0
346,Rubber and plastic products,Mining Of Coal And Lignite,1
347,"Cement, lime, plaster and articles of concrete, cement and plaster",Mining Of Coal And Lignite,0
348,"Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9",Mining Of Coal And Lignite,0
349,Basic iron and steel,Mining Of Coal And Lignite,3
350,Other basic metals and casting,Mining Of Coal And Lignite,0
351,Weapons and ammunition,Mining Of Coal And Lignite,0
352,"Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9",Mining Of Coal And Lignite,0
353,"Computer, electronic and optical products",Mining Of Coal And Lignite,0
354,Electrical equipment,Mining Of Coal And Lignite,0
355,Machinery and equipment n.e.c.,Mining Of Coal And Lignite,2
356,"Motor vehicles, trailers and semi-trailers",Mining Of Coal And Lignite,0
357,Ships and boats,Mining Of Coal And Lignite,0
358,Air and spacecraft and related machinery,Mining Of Coal And Lignite,0
359,Other transport equipment - 30.2/4/9,Mining Of Coal And Lignite,0
360,Furniture,Mining Of Coal And Lignite,0
361,Other manufactured goods,Mining Of Coal And Lignite,0
362,Repair and maintenance of ships and boats,Mining Of Coal And Lignite,0
363,Repair and maintenance of aircraft and spacecraft,Mining Of Coal And Lignite,0
364,Rest of repair; Installation - 33.11-14/17/19/20,Mining Of Coal And Lignite,0
365,"Electricity, transmission and distribution",Mining Of Coal And Lignite,0
366,Gas; distribution of gaseous fuels through mains; steam and air conditioning supply,Mining Of Coal And Lignite,0
367,Natural water; water treatment and supply services,Mining Of Coal And Lignite,0
368,Sewerage services; sewage sludge,Mining Of Coal And Lignite,0
369,"Waste collection, treatment and disposal services; materials recovery services",Mining Of Coal And Lignite,0
370,Remediation services and other waste management services,Mining Of Coal And Lignite,0
371,Construction,Mining Of Coal And Lignite,0
372,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Mining Of Coal And Lignite,0
373,"Wholesale trade services, except of motor vehicles and motorcycles",Mining Of Coal And Lignite,0
374,"Retail trade services, except of motor vehicles and motorcycles",Mining Of Coal And Lignite,0
375,Rail transport services,Mining Of Coal And Lignite,0
376,"Land transport services and transport services via pipelines, excluding rail transport",Mining Of Coal And Lignite,2
377,Water transport services,Mining Of Coal And Lignite,0
378,Air transport services,Mining Of Coal And Lignite,0
379,Warehousing and support services for transportation,Mining Of Coal And Lignite,0
380,Postal and courier services,Mining Of Coal And Lignite,0
381,Accommodation services,Mining Of Coal And Lignite,0
382,Food and beverage serving services,Mining Of Coal And Lignite,0
383,Publishing services,Mining Of Coal And Lignite,0
384,"Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities",Mining Of Coal And Lignite,0
385,Telecommunications services,Mining Of Coal And Lignite,0
386,"Computer programming, consultancy and related services",Mining Of Coal And Lignite,0
387,Information services,Mining Of Coal And Lignite,0
388,"Financial services, except insurance and pension funding",Mining Of Coal And Lignite,0
389,"Insurance, reinsurance and pension funding services, except compulsory social security",Mining Of Coal And Lignite,0
390,Services auxiliary to financial services and insurance services,Mining Of Coal And Lignite,0
391,Real estate services on a fee or contract basis,Mining Of Coal And Lignite,0
392,Owner-Occupiers' Housing Services,Mining Of Coal And Lignite,0
393,"Real estate services, excluding on a fee or contract basis and imputed rent",Mining Of Coal And Lignite,0
394,Legal services,Mining Of Coal And Lignite,0
395,"Accounting, bookkeeping and auditing services; tax consulting services",Mining Of Coal And Lignite,0
396,Services of head offices; management consulting services,Mining Of Coal And Lignite,0
397,Architectural and engineering services; technical testing and analysis services,Mining Of Coal And Lignite,1
398,Scientific research and development services,Mining Of Coal And Lignite,0
399,Advertising and market research services,Mining Of Coal And Lignite,0
400,"Other professional, scientific and technical services",Mining Of Coal And Lignite,0
401,Veterinary services,Mining Of Coal And Lignite,0
402,Rental and leasing services,Mining Of Coal And Lignite,0
403,Employment services,Mining Of Coal And Lignite,0
404,"Travel agency, tour operator and other reservation services and related services",Mining Of Coal And Lignite,0
405,Security and investigation services,Mining Of Coal And Lignite,0
406,Services to buildings and landscape,Mining Of Coal And Lignite,0
407,"Office administrative, office support and other business support services",Mining Of Coal And Lignite,0
408,Public administration and defence services; compulsory social security services,Mining Of Coal And Lignite,0
409,Education services,Mining Of Coal And Lignite,0
410,Human health services,Mining Of Coal And Lignite,0
411,Residential Care  & Social Work Activities,Mining Of Coal And Lignite,0
